book_id,original_title,normalized_title,normalized_series_key,collection_candidate_name,rule_used,confidence,volume_detected,needs_review,skip_reason,eligible_for_collection,group_count,source_type,source_page,is_expired
1226,1914 (The War Years Book 1),1914 (The War Years Book 1),the war years,The War Years,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1114,A Court for Thieves (A Throne for Sisters—Book Two),A Court for Thieves (A Throne for Sisters-Book Two),,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1269,A Fate of Dragons (Book #3 in the Sorcerer's Ring),A Fate of Dragons (Book #3 in the Sorcerer's Ring),the sorcerer s ring,the Sorcerer's Ring,parenthetical_series_book,high,3,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1138,A King Ensnared: A Historical Novel of Scotland (The Stewart Chronicle Book 1),A King Ensnared: A Historical Novel of Scotland (The Stewart Chronicle Book 1),the stewart chronicle,The Stewart Chronicle,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1263,A Kingdom's Cost: A Historical Novel of Scotland (The Black Douglas Trilogy Book 1),A Kingdom's Cost: A Historical Novel of Scotland (The Black Douglas Trilogy Book 1),the black douglas trilogy,The Black Douglas Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
657,A Little Life,A Little Life,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
53,A Little Life (Hanya Yanagihara) (Z-Library),A Little Life (Hanya Yanagihara),,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1013,A Ring of Truth (A Henrietta and Inspector Howard Novel),A Ring of Truth (A Henrietta and Inspector Howard Novel),,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1055,A Sellsword's Compassion: Book One of the Seven Virtues,A Sellsword's Compassion: Book One of the Seven Virtues,the seven virtues,the Seven Virtues,prefix_book_marker,high,One,True,only_one_matching_book,False,1,amazon_book,booksAll,False
224,A Trial of Sorcerers,A Trial of Sorcerers,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
227,Air Awakens Book One,Air Awakens Book One,air awakens,Air Awakens,prefix_book_marker,high,One,True,only_one_matching_book,False,1,personal_document,pdocs,False
861,Alderamin on the Sky VI,Alderamin on the Sky VI,alderamin on the sky,Alderamin on the Sky,roman_numeral_suffix,medium,VI,True,low_confidence_match,False,5,personal_document,pdocs,False
991,Alexander Hamilton,Alexander Hamilton,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
614,Allison I,Allison I,allison,Allison,roman_numeral_suffix,medium,I,True,only_one_matching_book,False,1,personal_document,pdocs,False
613,Allison II - A Midday Night's Dream,Allison II - A Midday Night's Dream,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
612,Allison III (Part 1) - See the Lutoni by Train,Allison III (Part 1) - See the Lutoni by Train,allison iii,Allison III,prefix_part_marker,medium,1,True,low_confidence_match,False,2,personal_document,pdocs,False
611,Allison III (Part 2) - A Train Named Conspiracy,Allison III (Part 2) - A Train Named Conspiracy,allison iii,Allison III,prefix_part_marker,medium,2,True,low_confidence_match,False,2,personal_document,pdocs,False
685,Altina the Sword Princess: Loose Threads,Altina the Sword Princess: Loose Threads,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
610,Amaryllis in the Ice Country,Amaryllis in the Ice Country,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1210,Among the Dead and Dying (Among the Masses Book 1),Among the Dead and Dying (Among the Masses Book 1),among the masses,Among the Masses,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
990,An Archdemon's Dilemma: How to Love Your Elf Bride: Volume 2,An Archdemon's Dilemma: How to Love Your Elf Bride: Volume 2,an archdemon s dilemma how to love your elf bride,An Archdemon's Dilemma: How to Love Your Elf Bride,prefix_volume_marker,high,2,True,only_one_matching_book,False,1,personal_document,pdocs,False
107,An Introvert's Hookup Hiccups vol 1 Premium,An Introvert's Hookup Hiccups vol 1,an introvert s hookup hiccups,An Introvert's Hookup Hiccups,prefix_volume_marker,high,1,True,only_one_matching_book,False,1,personal_document,pdocs,False
1046,Angels Rising,Angels Rising,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
35,angelsofdarkness,angelsofdarkness,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1014,Archangel Down: Archangel Project. Book One,Archangel Down: Archangel Project. Book One,archangel down archangel project,Archangel Down: Archangel Project.,prefix_book_marker,high,One,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1083,"Archibald Lox and the Bridge Between Worlds: Archibald Lox series, book 1","Archibald Lox and the Bridge Between Worlds: Archibald Lox series, book 1",archibald lox and the bridge between worlds archibald lox series,Archibald Lox and the Bridge Between Worlds: Archibald Lox series,prefix_book_marker,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1196,ARMS War for Eden: (Book 1),ARMS War for Eden: (Book 1),,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
385,Ascension: The Beginning After The End (Book 8),Ascension: The Beginning After The End (Book 8),,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
917,"At Night, I Become a Monster (Novel)","At Night, I Become a Monster (Novel)",,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1209,Awakening (The Dark Rituals),Awakening (The Dark Rituals),,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1097,Ballad of Reading Gaol,Ballad of Reading Gaol,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1207,Bayes' Theorem Examples: A Visual Introduction For Beginners,Bayes' Theorem Examples: A Visual Introduction For Beginners,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1145,Beautiful Exiles,Beautiful Exiles,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1256,Beauty and the Beast (Timeless Fairy Tales Book 1),Beauty and the Beast (Timeless Fairy Tales Book 1),timeless fairy tales,Timeless Fairy Tales,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
921,Berserk of Gluttony (Light Novel) Vol. 1,Berserk of Gluttony (Light Novel) Vol. 1,berserk of gluttony light novel vol,Berserk of Gluttony (Light Novel) Vol.,repeated_structured_prefix,medium,1,True,low_confidence_match,False,3,personal_document,pdocs,False
920,Berserk of Gluttony (Light Novel) Vol. 2,Berserk of Gluttony (Light Novel) Vol. 2,berserk of gluttony light novel vol,Berserk of Gluttony (Light Novel) Vol.,repeated_structured_prefix,medium,2,True,low_confidence_match,False,3,personal_document,pdocs,False
350,Berserk of Gluttony (Light Novel) Vol. 4,Berserk of Gluttony (Light Novel) Vol. 4,berserk of gluttony light novel vol,Berserk of Gluttony (Light Novel) Vol.,repeated_structured_prefix,medium,4,True,low_confidence_match,False,3,personal_document,pdocs,False
1118,Betrayal (The 1000 Revolution Book 1),Betrayal (The 1000 Revolution Book 1),the 1000 revolution,The 1000 Revolution,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1272,"Beyond the Wall, Books One and Two (The Beyond the Wall Collected Series Book 1)","Beyond the Wall, Books One and Two (The Beyond the Wall Collected Series Book 1)",the beyond the wall collected series,The Beyond the Wall Collected Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1171,Birthright (The Legacy Series Book 1),Birthright (The Legacy Series Book 1),the legacy series,The Legacy Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1113,Blackmark (The Kingsmen Chronicles #1): An Epic Fantasy Adventure,Blackmark (The Kingsmen Chronicles #1): An Epic Fantasy Adventure,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
60,BLADE & BASTARD vol 3 Premium,BLADE & BASTARD vol 3,blade bastard,BLADE & BASTARD,prefix_volume_marker,high,3,True,only_one_matching_book,False,1,personal_document,pdocs,False
104,"Blade & Bastard_ Warm ash, Dusky dungeon Volume 1","Blade & Bastard Warm ash, Dusky dungeon Volume 1",blade bastard warm ash dusky dungeon,"Blade & Bastard Warm ash, Dusky dungeon",prefix_volume_marker,high,1,True,only_one_matching_book,False,1,personal_document,pdocs,False
1174,Blades Of Magic (Crown Service Book 1),Blades Of Magic (Crown Service Book 1),crown service,Crown Service,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1225,Blast of the Dragon's Fury: A Fun Dragon Epic Fantasy Book with Dragons (Andy Smithson Series 1),Blast of the Dragon's Fury: A Fun Dragon Epic Fantasy Book with Dragons (Andy Smithson Series 1),blast of the dragon s fury a fun dragon epic fantasy,Blast of the Dragon's Fury: A Fun Dragon Epic Fantasy,prefix_book_marker,high,with,True,only_one_matching_book,False,1,amazon_book,booksAll,False
48,bloodofasaheim,bloodofasaheim,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
49,bloodofiax,bloodofiax,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
607,Book Girl and the Captive Fool,Book Girl and the Captive Fool,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
606,Book Girl and the Corrupted Angel,Book Girl and the Corrupted Angel,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
608,Book Girl and the Famished Spirit,Book Girl and the Famished Spirit,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
609,Book Girl and the Suicidal Mime,Book Girl and the Suicidal Mime,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
604,Book Girl and the Undine Who Bore a Moonflower,Book Girl and the Undine Who Bore a Moonflower,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
605,Book Girl and the Wayfarer's Lamentation,Book Girl and the Wayfarer's Lamentation,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1193,Branded: The Sinners Series,Branded: The Sinners Series,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1149,Brilliant Green: The Surprising History and Science of Plant Intelligence,Brilliant Green: The Surprising History and Science of Plant Intelligence,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
9,Brothers Karamazov ( etc.) (Z-Library),Brothers Karamazov ( etc.),,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1274,Calculus: Early Transcendental Functions,Calculus: Early Transcendental Functions,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,True
1053,Call of Kythshire: An Epic Fantasy Adventure (Keepers of the Wellsprings Book 1),Call of Kythshire: An Epic Fantasy Adventure (Keepers of the Wellsprings Book 1),keepers of the wellsprings,Keepers of the Wellsprings,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1127,Call of the Herald: Epic Fantasy Adventure filled with Magic and Discovery (The Dawning of Power trilogy Book 1),Call of the Herald: Epic Fantasy Adventure filled with Magic and Discovery (The Dawning of Power trilogy Book 1),the dawning of power trilogy,The Dawning of Power trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
580,Campione EX,Campione EX,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
555,Chrome Shelled Regios - Volume 25 - And Then After That (Final Volume),Chrome Shelled Regios - Volume 25 - And Then After That (Final Volume),final,Final,parenthetical_series_book,high,ume,True,only_one_matching_book,False,1,personal_document,pdocs,False
1052,City of Masks: (An Epic Fantasy Adventure) (The Bone Mask Cycle Book 1),City of Masks: (An Epic Fantasy Adventure) (The Bone Mask Cycle Book 1),the bone mask cycle,The Bone Mask Cycle,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
551,Clash of Hexennacht - Volume 04,Clash of Hexennacht - Volume 04,clash of hexennacht,Clash of Hexennacht,prefix_volume_marker,high,04,True,only_one_matching_book,False,1,personal_document,pdocs,False
1246,"Code Name: Camelot - An Action Thriller Novel (A Noah Wolf Novel, Thriller, Action, Mystery Book 1)","Code Name: Camelot - An Action Thriller Novel (A Noah Wolf Novel, Thriller, Action, Mystery Book 1)",a noah wolf novel thriller action mystery,"A Noah Wolf Novel, Thriller, Action, Mystery",parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1267,Contamination Boxed Set (Books 0-3 in the series),Contamination Boxed Set (Books 0-3 in the series),,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1264,"Contemporary Business, 16th Edition","Contemporary Business, 16th Edition",,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,True
1095,"Cradle, Foundation: Box Set (Cradle Collection Book 1)","Cradle, Foundation: Box Set (Cradle Collection Book 1)",cradle collection,Cradle Collection,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
46,crusadersofdorn,crusadersofdorn,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1261,Cursed: An Urban Fantasy Novel (The Thrice Cursed Mage Book 1),Cursed: An Urban Fantasy Novel (The Thrice Cursed Mage Book 1),the thrice cursed mage,The Thrice Cursed Mage,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1159,"Daggers & Steele, Books 1-3","Daggers & Steele, Books 1-3",daggers steele,Daggers & Steele,prefix_book_marker,low,s,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1175,DAMAGED (The Kate Lange Thriller Series Book 1),DAMAGED (The Kate Lange Thriller Series Book 1),the kate lange thriller series,The Kate Lange Thriller Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
6,"Darth Bane Star Wars Legends 3-Book Bundle Darth Bane Star Wars Legends 3-Book Bundle Path of Destruction, Rule of Two,… (Drew Karpyshyn) (Z-Library)","Darth Bane Star Wars Legends 3-Book Bundle Darth Bane Star Wars Legends 3-Book Bundle Path of Destruction, Rule of Two,… (Drew Karpyshyn)",darth bane star wars legends 3,Darth Bane Star Wars Legends 3,prefix_book_marker,high,Bundle,True,only_one_matching_book,False,1,personal_document,pdocs,False
1235,Deadly Webs: The Beginning Book 0,Deadly Webs: The Beginning Book 0,deadly webs the beginning,Deadly Webs: The Beginning,prefix_book_marker,high,0,True,only_one_matching_book,False,1,amazon_book,booksAll,False
44,deathwatch,deathwatch,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
47,deathwing,deathwing,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
954,Decapitation 1,Decapitation 1,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1253,Deep Blue Secret (The Water Keepers Book 1),Deep Blue Secret (The Water Keepers Book 1),the water keepers,The Water Keepers,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1043,Destiny (Experimental Heart Book 1),Destiny (Experimental Heart Book 1),experimental heart,Experimental Heart,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
37,deusencarmine,deusencarmine,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
389,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss! (Light Novel) Vol. 1,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss! (Light Novel) Vol. 1,disciple of the lich or how i was cursed by the gods and dropped into the abyss light novel vol,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss! (Light Novel) Vol.,repeated_structured_prefix,medium,1,True,only_one_matching_book,False,1,personal_document,pdocs,False
1190,Division of the Marked (The Marked Series Book 1),Division of the Marked (The Marked Series Book 1),the marked series,The Marked Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
622,Don Quixote,Don Quixote,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
241,"Dragon and Ceremony, Vol. 1: From a Wandmaker’s Perspective","Dragon and Ceremony, Vol. 1: From a Wandmaker's Perspective",dragon and ceremony,Dragon and Ceremony,prefix_volume_marker,high,1,True,only_one_matching_book,False,1,personal_document,pdocs,False
1112,Dragon School: First Flight,Dragon School: First Flight,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1248,Dragon Trials: A YA Dragon Rider Fantasy Adventure With A Unique Magic Spin (Return of the Darkening Series Book 1),Dragon Trials: A YA Dragon Rider Fantasy Adventure With A Unique Magic Spin (Return of the Darkening Series Book 1),return of the darkening series,Return of the Darkening Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1187,"Dragonlands, Books 1 - 3: Hidden, Hunted, and Retribution","Dragonlands, Books 1 - 3: Hidden, Hunted, and Retribution",dragonlands,Dragonlands,prefix_book_marker,low,s,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1051,Dreams for Stones (Dreams Trilogy Book 1),Dreams for Stones (Dreams Trilogy Book 1),dreams trilogy,Dreams Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1144,E,E,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1150,Earthrise (Her Instruments Book 1),Earthrise (Her Instruments Book 1),her instruments,Her Instruments,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1222,Eleven: An absolutely heart-pounding and chilling serial killer thriller (Brandon Fisher FBI Series Book 1),Eleven: An absolutely heart-pounding and chilling serial killer thriller (Brandon Fisher FBI Series Book 1),brandon fisher fbi series,Brandon Fisher FBI Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
633,Erich Remarque - All Quiet On The Western Front,Erich Remarque - All Quiet On The Western Front,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1213,"Ethan Wright and the Curse of Silence, (Book 1)","Ethan Wright and the Curse of Silence, (Book 1)",,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1119,Evensong (Meratis Trilogy Book 1),Evensong (Meratis Trilogy Book 1),meratis trilogy,Meratis Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1230,Ever Shade (A Dark Faerie Tale Book 1),Ever Shade (A Dark Faerie Tale Book 1),a dark faerie tale,A Dark Faerie Tale,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1214,Everflame,Everflame,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1134,Excalibur Rising: Book One of an Arthurian Saga,Excalibur Rising: Book One of an Arthurian Saga,an arthurian saga,an Arthurian Saga,prefix_book_marker,high,One,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1218,Exodus (The Exodus Trilogy Book 1),Exodus (The Exodus Trilogy Book 1),the exodus trilogy,The Exodus Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
989,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Extreme Ownership: How U.S. Navy SEALs Lead and Win,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
36,eyeofmedusa,eyeofmedusa,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1194,Faelorehn: A Low Spice Fae Fantasy Romance (The Otherworld Series Book 1),Faelorehn: A Low Spice Fae Fantasy Romance (The Otherworld Series Book 1),the otherworld series,The Otherworld Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
687,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells (Light Novel) Vol. 2,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells (Light Novel) Vol. 2,failure frame i became the strongest and annihilated everything with low level spells light novel vol,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells (Light Novel) Vol.,repeated_structured_prefix,medium,2,True,only_one_matching_book,False,1,personal_document,pdocs,False
1101,Fantastic Creatures: A Fellowship of Fantasy Anthology,Fantastic Creatures: A Fellowship of Fantasy Anthology,,,no_series_match,low,,True,ambiguous_anthology,False,0,amazon_book,booksAll,False
1252,Final Judgment (Lou Mason Thrillers Book 5),Final Judgment (Lou Mason Thrillers Book 5),lou mason thrillers,Lou Mason Thrillers,parenthetical_series_book,high,5,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1184,Fire & Ice (Icefire Trilogy Book 1),Fire & Ice (Icefire Trilogy Book 1),icefire trilogy,Icefire Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1084,Fire and Sword: A Dark Epic Fantasy Adventure (Sword and Sorcery Book 1),Fire and Sword: A Dark Epic Fantasy Adventure (Sword and Sorcery Book 1),sword and sorcery,Sword and Sorcery,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1183,Fire in Frost (Crystal Frost Book 1),Fire in Frost (Crystal Frost Book 1),crystal frost,Crystal Frost,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1221,Firebolt (The Dragonian Series Book 1),Firebolt (The Dragonian Series Book 1),the dragonian series,The Dragonian Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
41,firedrake,firedrake,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
988,First Principles,First Principles,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1219,First Strike (The Kurgan War Book 1),First Strike (The Kurgan War Book 1),the kurgan war,The Kurgan War,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
632,Flowers For Algernon,Flowers For Algernon,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1087,Frey (The Frey Saga Book 1),Frey (The Frey Saga Book 1),the frey saga,The Frey Saga,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
235,From Toxic Classmate to Girlfriend Goals,From Toxic Classmate to Girlfriend Goals,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
