collection_candidate_name,normalized_series_key,book_count,confidence,needs_review,rule_used_set,book_ids,book_titles
86-EIGHTY-SIX,86 eighty six,2,high,False,prefix_volume_marker,707 | 745,"86—EIGHTY-SIX, Vol. 6 | 86—EIGHTY-SIX, Vol. 7: Mist"
A Tale of the Secret Saint,a tale of the secret saint,3,high,False,prefix_volume_marker,382 | 208 | 105,A Tale of the Secret Saint Vol. 1 | A Tale of the Secret Saint Vol. 2 | A Tale of the Secret Saint Vol. 4
Absolute Duo,absolute duo,5,high,False,prefix_volume_marker,940 | 939 | 938 | 937 | 936,Absolute Duo vol.01 | Absolute Duo vol.02 | Absolute Duo vol.03 | Absolute Duo vol.04 | Absolute Duo vol.05
Air Awakens Series,air awakens series,4,high,False,parenthetical_series_book,148 | 147 | 150 | 149,Crystal Crowned (Air Awakens Series Book 5) | Earth's End (Air Awakens Series Book 3) | Fire Falling (Air Awakens Series Book 2) | Water's Wrath (Air Awakens Series Book 4)
Alderamin on the Sky,alderamin on the sky,5,high,True,prefix_volume_marker | roman_numeral_suffix,863 | 862 | 860 | 859 | 861,Alderamin on the Sky - Volume 04 | Alderamin on the Sky - Volume 05 | Alderamin on the Sky - Volume 7 | Alderamin on the Sky - Volume 8 | Alderamin on the Sky VI
Allison III,allison iii,2,medium,True,prefix_part_marker,612 | 611,Allison III (Part 1) - See the Lutoni by Train | Allison III (Part 2) - A Train Named Conspiracy
Altina the Sword Princess,altina the sword princess,14,high,False,prefix_volume_marker,207 | 800 | 390 | 275 | 228 | 171 | 799 | 751 | 752 | 754 | 793 | 753 | 684 | 660,Altina the Sword Princess - Volume 14 | Altina the Sword Princess: Volume 1 | Altina the Sword Princess: Volume 10 | Altina the Sword Princess: Volume 11 | Altina the Sword Princess: Volume 12 | Altina the Sword Princess: Volume 14 | Altina the Sword Princess: Volume 2 | Altina the Sword Princess: Volume 3 | Altina the Sword Princess: Volume 4 | Altina the Sword Princess: Volume 5 | Altina the Sword Princess: Volume 6 | Altina the Sword Princess: Volume 7 | Altina the Sword Princess: Volume 8 | Altina the Sword Princess: Volume 9
Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,apocalypse bringer mynoghra world conquest starts with the civilization of ruin,2,high,False,prefix_volume_marker,654 | 661,"Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin, Volume 1 | Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin, Volume 1"
Apocalypse Witch - To the Strongests of an Age of Plenty,apocalypse witch to the strongests of an age of plenty,3,high,False,prefix_volume_marker,375 | 374 | 376,Apocalypse Witch - To the Strongests of an Age of Plenty Vol 2 | Apocalypse Witch - To the Strongests of an Age of Plenty Vol 3 | Apocalypse Witch: To the Strongests of an Age of Plenty Vol 1
Arcane Ascension,arcane ascension,3,high,False,parenthetical_series_book,13 | 15 | 14,A Brief History of Chronomancy (Arcane Ascension Book 6) (Andrew Rowe) (Z-Library) | On the Shoulders of Titans (Arcane Ascension Book 2) (Andrew Rowe) (Z-Library) | The Torch that Ignites the Stars (Arcane Ascension Book 3) (Andrew Rowe) (Z-Library)
